epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3103.39,0.51549,0.42227,1.07002,0.85734,0.87975,0.91925,0.84633,0.39244,0.46463,0.98277,0.00643101,0.00643101,0.00643101
43,3177.02,0.5193,0.41841,1.0642,0.89087,0.86002,0.91752,0.8465,0.36892,0.48665,0.95038,0.00628101,0.00628101,0.00628101
44,3250.87,0.50639,0.40461,1.06447,0.88074,0.85778,0.91514,0.84545,0.36675,0.45871,0.96202,0.00612981,0.00612981,0.00612981
45,3324.38,0.51191,0.40575,1.06617,0.87043,0.8668,0.91397,0.8411,0.37315,0.45106,0.96449,0.00597754,0.00597754,0.00597754
46,3397.9,0.50738,0.40433,1.06348,0.87055,0.87702,0.91582,0.8433,0.37745,0.46298,0.97193,0.00582435,0.00582435,0.00582435
47,3471.64,0.50041,0.39623,1.05785,0.85497,0.89042,0.92473,0.8544,0.37278,0.44864,0.958,0.0056704,0.0056704,0.0056704
48,3545.66,0.49374,0.39092,1.06036,0.89367,0.87164,0.92294,0.85184,0.36567,0.46447,0.96083,0.00551584,0.00551584,0.00551584
49,3619.32,0.49362,0.38234,1.05008,0.88747,0.86443,0.92079,0.8533,0.36276,0.45489,0.95908,0.00536081,0.00536081,0.00536081
50,3692.69,0.49688,0.38067,1.05421,0.89102,0.85534,0.91614,0.84922,0.35523,0.47335,0.95309,0.00520548,0.00520548,0.00520548
51,3766.45,0.49392,0.37716,1.04696,0.89455,0.85663,0.92295,0.8548,0.35875,0.46318,0.95795,0.00505,0.00505,0.00505
52,3840.36,0.47828,0.37031,1.04627,0.88559,0.85823,0.91995,0.84987,0.36626,0.45653,0.96544,0.00489452,0.00489452,0.00489452
53,3913.91,0.48424,0.36436,1.05089,0.8712,0.875,0.91936,0.85284,0.36624,0.4503,0.97141,0.00473919,0.00473919,0.00473919
54,3987.41,0.47559,0.36634,1.04823,0.88366,0.86925,0.92383,0.85731,0.35805,0.44582,0.96603,0.00458416,0.00458416,0.00458416
55,4061.4,0.46875,0.35522,1.04173,0.88734,0.86273,0.92131,0.85348,0.34699,0.43688,0.94999,0.0044296,0.0044296,0.0044296
56,4135.24,0.46912,0.34991,1.04339,0.90112,0.8529,0.92136,0.85359,0.3541,0.44486,0.95486,0.00427565,0.00427565,0.00427565
57,4208.96,0.46174,0.34588,1.03856,0.88963,0.85158,0.92375,0.85875,0.3507,0.44242,0.9511,0.00412246,0.00412246,0.00412246
58,4282.64,0.46423,0.34451,1.03679,0.88807,0.85426,0.92314,0.85852,0.34644,0.43793,0.95065,0.00397019,0.00397019,0.00397019
59,4356.06,0.45426,0.33756,1.0306,0.88109,0.87726,0.92557,0.86347,0.34361,0.43956,0.94781,0.00381899,0.00381899,0.00381899
60,4430.07,0.44574,0.33055,1.02659,0.89696,0.84488,0.91763,0.85371,0.34303,0.46561,0.94549,0.00366899,0.00366899,0.00366899
61,4503.79,0.4476,0.32642,1.02706,0.8824,0.86149,0.91776,0.85245,0.35124,0.4523,0.96345,0.00352037,0.00352037,0.00352037
62,4577.25,0.44261,0.31734,1.02458,0.86138,0.88277,0.91702,0.85078,0.35038,0.45971,0.96153,0.00337325,0.00337325,0.00337325
63,4650.87,0.43933,0.31937,1.02543,0.89373,0.84331,0.91583,0.84849,0.349,0.46574,0.96664,0.00322778,0.00322778,0.00322778
64,4724.65,0.43693,0.31778,1.02104,0.89936,0.84996,0.91928,0.85508,0.34175,0.45191,0.95511,0.00308412,0.00308412,0.00308412
